seq_len,ch_idx
432,15
284,8
242,23
238,3
218,14
204,31
201,21
181,25
173,19
165,3
163,1
156,15
154,4
151,0
149,7
143,24
140,18
137,26
131,15
130,0
129,27
129,28
122,3
120,21
120,25
112,13
110,28
109,12
110,6
107,1
104,23
104,11
101,28
99,12
94,10
93,24
93,9
91,14
91,1
90,30
90,18
90,13
90,26
89,29
89,31
89,24
87,22
87,22
85,8
85,29
83,31
83,25
82,9
82,18
79,11
79,17
78,13
78,19
79,30
75,22
75,30
75,28
74,0
74,29
73,5
72,22
71,30
71,28
70,7
70,25
69,12
69,17
69,26
69,5
69,21
68,20
73,12
72,12
68,6
67,2
66,6
64,9
63,2
63,27
62,5
62,28
61,0
61,6
61,18
61,20
61,29
60,8
60,9
60,19
60,2
59,31
58,13
58,16
58,5
58,27
56,11
55,12
54,22
54,20
53,8
53,11
53,13
53,24
53,31
53,10
52,17
52,3
52,12
50,18
50,8
50,9
49,11
49,13
49,30
49,31
48,19
48,25
48,4
47,3
47,15
48,27
48,9
47,6
46,7
46,10
46,21
45,1
44,16
43,15
43,22
42,20
41,8
41,10
40,0
39,28
39,1
39,16
39,23
37,3
56,17
41,14
39,17
36,14
33,13
33,4
33,24
32,14
32,5
32,15
32,7
32,13
32,10
31,27
31,30
31,0
30,4
30,18
30,19
30,20
30,24
29,1
29,11
29,16
29,21
29,14
28,31
27,8
26,26
26,5
39,6
28,19
28,21
25,4
24,6
24,11
24,20
24,2
23,7
23,0
23,16
23,1
22,21
21,4
21,6
21,11
20,20
20,2
20,7
20,9
19,0
19,16
19,19
19,24
19,1
19,12
19,21
18,27
18,22
18,23
18,28
17,29
17,8
17,5
16,26
25,23
20,2
19,10
18,17
17,29
17,26
17,23
15,25
15,16
15,2
15,10
14,4
14,7
13,17
13,27
13,29
12,26
12,30
12,14
12,18
12,23
12,25
11,3
11,15
10,16
10,2
10,10
10,20
9,4
9,5
9,7
9,17
9,27
9,29
9,9
9,26
8,19
7,30
7,14
7,18
6,22
6,24
6,23
6,25
6,31
5,3
5,15
