seq_len,ch_idx
2048,8
2048,16
2048,20
2048,13
2048,10
2048,3
2048,7
2048,29
2048,13
2048,15
2048,4
2048,26
2048,23
2048,6
2048,27
2048,21
2048,27
2048,18
2048,15
2048,18
2048,25
2048,17
2048,8
2048,12
2048,29
2048,0
2048,29
2048,29
2048,2
2048,8
2048,1
2048,29
2009,9
1943,20
2048,25
1859,11
1863,31
1846,31
2037,0
1844,31
1831,0
1793,3
1770,11
1734,11
1689,5
1675,11
1675,28
2048,13
1669,21
1619,0
1593,10
1444,0
1470,3
1426,31
1406,10
1375,6
1331,24
2048,24
1297,10
1314,25
1328,16
1325,12
1188,4
1186,22
1365,11
1171,20
1161,14
1152,14
1117,10
1095,30
1081,22
1073,16
1073,16
1066,16
1049,26
1027,6
1016,14
1003,26
1226,19
1594,6
929,14
1203,5
929,5
908,18
905,22
894,6
860,14
883,14
867,4
902,30
838,4
1044,28
893,7
820,7
826,5
1003,28
829,28
746,12
715,4
713,7
707,7
788,16
712,23
702,28
674,24
657,30
648,13
870,2
638,18
618,30
604,13
1372,22
573,4
586,18
579,30
561,4
579,20
567,5
544,20
538,12
552,1
643,4
599,24
527,5
504,5
717,20
501,27
491,12
486,20
574,2
531,2
495,27
479,12
2048,3
465,4
471,27
464,19
464,12
451,23
551,15
441,23
1958,19
1015,30
418,24
416,24
421,9
456,9
404,9
399,17
429,9
374,17
380,19
377,15
365,17
367,22
413,23
402,28
336,15
391,1
384,17
370,26
346,5
342,30
337,25
307,23
293,17
292,26
299,17
288,30
272,28
1979,23
365,2
269,2
254,9
292,26
256,17
275,21
264,26
270,1
268,9
256,30
250,26
237,2
215,2
216,12
211,28
709,17
267,17
257,21
380,15
273,18
217,15
202,18
190,15
181,18
228,1
194,1
184,1
216,1
155,1
415,1
252,9
155,28
171,27
155,27
139,1
131,9
1305,25
387,27
186,22
134,19
118,6
112,1
128,9
124,26
115,12
115,27
115,1
110,9
109,26
102,7
102,12
145,23
132,9
100,27
89,14
88,24
85,26
676,7
203,15
114,19
112,14
99,19
82,15
67,22
94,21
91,21
63,21
55,21
85,22
63,21
41,22
471,19
62,19
58,19
54,19
44,2
27,9
26,2
18,17
17,17
100,8
97,8
16,24
15,8
5,21
