seq_len,ch_idx
2048,23
2048,14
1874,31
939,24
942,10
887,6
912,8
820,13
801,20
1899,1
1551,26
748,15
748,16
844,22
782,22
780,18
771,2
747,5
744,27
697,15
702,27
1459,15
1169,1
679,1
676,15
651,30
641,15
1033,27
651,9
670,11
641,21
621,21
1139,2
683,0
645,24
615,17
611,20
609,12
1442,6
1038,18
632,18
585,18
584,28
586,5
572,18
703,4
632,13
559,21
558,4
555,24
659,25
690,24
544,12
537,31
535,16
528,29
546,24
511,30
529,17
511,31
496,3
488,28
512,1
499,24
490,0
490,25
471,7
479,27
468,12
479,5
453,20
527,4
475,4
449,1
442,30
441,24
560,10
450,11
436,19
2048,31
613,29
459,1
458,23
452,22
442,7
440,5
432,0
428,9
425,14
465,17
417,6
413,19
403,25
451,26
400,9
396,26
381,2
1453,19
444,4
396,25
391,12
386,1
386,4
385,9
377,12
379,27
377,9
371,30
442,26
388,8
379,20
376,26
364,2
401,10
383,13
362,6
351,9
350,16
341,6
776,2
380,8
360,21
358,8
352,5
342,7
331,18
353,31
350,5
333,31
328,8
324,16
323,14
347,12
340,30
336,2
330,3
326,5
326,8
325,12
325,21
324,4
322,25
321,30
321,22
318,13
431,3
366,23
355,1
331,15
321,4
320,14
309,24
308,22
1190,11
309,31
309,18
297,19
656,7
405,30
376,1
320,8
311,5
304,9
304,22
302,10
299,30
297,1
291,31
288,19
282,9
2048,0
465,12
330,28
322,20
306,28
299,25
292,14
283,24
279,17
277,29
275,8
271,9
321,17
303,11
294,8
275,17
275,10
275,23
261,8
909,17
295,27
290,20
289,26
281,10
273,14
271,17
267,21
265,27
263,11
262,19
259,8
258,22
314,10
279,17
270,25
256,21
246,7
391,0
371,3
289,13
272,16
257,18
256,3
254,29
251,13
246,21
242,7
241,16
240,23
234,18
305,18
259,13
254,18
253,3
247,13
241,18
241,30
231,6
225,4
363,6
251,29
246,3
240,6
229,29
229,23
227,3
226,25
224,6
219,23
219,0
219,14
218,4
291,10
243,20
239,24
217,6
211,22
207,30
207,21
206,11
205,14
204,31
202,20
343,24
302,13
279,22
219,28
201,0
200,8
200,10
407,19
201,20
201,19
199,13
197,5
194,30
191,14
188,4
181,20
541,30
274,16
238,12
213,16
210,30
198,27
195,17
194,20
187,18
186,7
181,3
181,19
176,31
470,10
222,12
186,10
179,16
173,29
172,5
170,9
169,20
167,4
163,26
162,21
161,23
229,28
221,28
181,28
172,28
169,29
160,29
160,30
160,2
151,29
498,5
164,2
162,26
161,17
156,5
155,10
152,16
149,12
148,30
146,2
146,26
143,27
142,6
1031,28
1009,16
194,3
159,5
151,10
147,6
143,2
143,18
142,14
141,27
139,3
137,23
135,19
1521,14
923,10
145,2
144,13
143,17
143,0
141,5
141,2
139,8
137,16
136,13
136,17
134,11
133,3
131,0
130,1
129,5
127,29
127,2
121,8
188,8
188,28
179,9
151,10
131,25
125,0
123,7
120,8
179,11
149,12
127,11
122,12
115,16
113,25
110,7
109,4
109,14
108,11
107,12
106,16
155,29
126,3
109,29
104,3
103,25
103,27
100,29
97,3
94,25
91,0
91,27
526,20
254,3
151,11
145,20
141,15
113,29
110,3
104,11
101,16
100,19
98,23
96,14
90,26
89,15
86,24
84,29
679,25
502,13
117,2
101,20
83,13
83,19
82,30
82,23
79,26
71,20
450,9
100,9
94,7
84,9
79,26
79,4
78,11
77,25
75,30
75,9
74,26
73,7
72,19
71,23
70,0
65,18
65,10
61,4
537,21
333,12
174,21
96,12
90,21
82,31
82,11
81,25
81,26
80,8
79,9
69,13
69,28
68,12
60,5
60,23
60,4
59,19
59,21
55,0
67,15
62,25
61,28
54,21
53,23
50,12
50,30
49,15
48,22
46,6
45,31
1512,9
67,13
56,26
55,17
55,6
52,13
48,26
43,20
42,7
40,17
38,6
37,15
33,22
615,7
108,28
100,29
61,7
57,28
48,1
42,29
37,7
34,28
32,23
27,5
26,6
26,19
202,27
83,27
62,3
50,11
48,19
42,27
39,0
33,3
29,7
26,11
26,28
26,19
22,16
21,27
14,0
13,14
13,1
695,22
69,22
61,22
45,22
22,15
19,24
17,7
13,25
11,23
10,17
10,22
9,2
8,15
2,8
