seq_len,ch_idx
743,7
579,23
570,12
531,30
502,23
516,20
441,11
431,26
416,27
392,26
375,12
788,1
393,0
371,18
352,1
395,5
362,10
355,28
348,29
329,16
319,31
318,31
323,16
281,0
590,17
267,15
255,21
229,13
216,13
210,13
205,24
1256,9
203,21
263,5
309,15
188,30
1129,24
181,8
166,11
160,8
195,4
143,29
140,18
217,18
177,2
167,2
135,2
117,19
115,17
490,4
438,14
84,19
81,28
78,20
72,19
306,3
225,25
148,3
15,27
99,6
28,22
21,22
17,6
9,25
