seq_len,ch_idx
2048,20
2048,19
2048,4
2048,17
2048,13
2048,15
1575,10
1138,6
1194,7
1029,12
1007,26
905,26
846,11
807,11
775,28
735,28
690,12
681,21
666,0
700,8
756,25
644,21
1959,9
618,31
593,27
905,0
1258,29
456,27
412,11
418,21
374,22
346,22
373,18
361,18
318,22
284,14
273,27
462,30
268,30
270,24
250,24
289,5
233,3
248,14
218,3
222,1
192,5
243,23
188,23
161,3
141,1
133,1
198,16
105,16
101,16
87,2
80,2
907,2
92,5
66,14
56,24
49,8
15,31
3,23
