seq_len,ch_idx
331,9
293,24
202,19
202,7
192,14
173,25
161,19
159,27
153,3
153,13
137,23
137,28
135,13
130,11
123,21
118,29
118,5
117,2
112,0
103,3
102,15
102,18
102,6
102,21
101,7
96,0
95,18
90,28
93,17
84,20
83,29
82,15
82,17
82,18
82,20
80,29
79,6
77,19
75,4
75,28
74,2
73,28
72,27
71,11
71,31
70,26
70,5
67,14
65,24
72,23
66,15
62,30
58,9
56,22
59,11
59,12
55,26
54,11
54,22
51,31
46,24
46,9
47,16
45,5
44,30
44,31
42,5
42,17
41,1
41,4
41,21
41,8
40,10
40,25
37,14
43,16
35,8
34,16
34,20
34,26
33,6
31,2
31,8
30,18
30,21
29,25
28,27
28,14
27,0
27,13
25,24
23,23
23,3
22,8
22,1
22,10
21,12
20,17
20,23
20,0
20,15
18,27
18,3
18,4
16,7
23,1
20,10
19,12
18,22
16,30
14,1
13,10
13,12
13,22
12,30
12,4
12,16
11,26
11,31
11,2
11,20
11,6
11,25
10,29
9,13
9,7
8,9
8,19
