seq_len,ch_idx
235,20
212,27
187,11
190,24
163,15
159,26
151,29
149,31
143,25
138,14
137,5
132,12
125,31
124,27
123,0
121,26
112,0
111,24
110,21
101,25
100,20
99,11
99,15
93,4
91,14
90,12
90,28
90,8
89,18
89,29
88,23
89,13
85,8
81,30
80,5
77,19
80,3
75,22
72,9
71,28
71,1
70,26
64,30
63,9
62,18
60,23
59,11
54,0
53,1
52,18
51,17
51,30
51,4
49,0
49,7
48,25
48,10
55,19
51,3
46,17
43,23
43,1
43,3
42,4
42,16
42,28
42,30
41,7
40,12
39,20
37,27
38,13
38,19
34,10
33,3
33,6
32,4
32,13
32,7
32,10
32,16
31,9
31,12
30,29
30,21
29,22
41,6
30,22
29,21
26,2
25,6
25,7
24,10
23,16
23,13
22,17
22,22
21,1
21,19
21,21
21,8
20,5
18,15
18,25
18,26
17,20
16,2
15,31
24,2
23,14
20,24
18,2
16,16
15,6
14,17
13,9
13,8
12,18
12,23
11,28
10,5
10,14
9,29
8,31
8,15
8,24
7,11
5,27
