seq_len,ch_idx
2048,21
2048,19
2048,2
2048,13
2048,20
2048,28
2048,16
2048,23
1990,15
1920,24
1837,9
1754,8
1740,24
1735,6
1697,29
1601,11
1452,10
1727,26
1326,26
1320,0
1001,27
1053,4
997,17
785,1
742,0
805,14
721,30
637,7
1392,12
595,22
613,27
593,31
560,3
516,31
508,27
489,3
495,12
400,22
371,5
470,7
563,22
351,5
279,31
866,25
257,25
1492,25
260,1
204,1
242,14
135,14
135,3
537,5
173,22
119,4
116,18
76,18
74,18
207,17
61,18
50,30
41,30
32,17
19,7
13,10
