seq_len,ch_idx
2048,12
2048,8
2048,30
2048,8
2048,11
2048,11
2048,2
2048,28
2048,20
2048,20
2048,11
2048,13
2048,6
2048,25
2048,15
2048,0
2048,11
2048,6
2048,19
2048,14
2048,4
2048,24
2048,2
2048,29
2048,31
2048,20
2048,28
2048,20
2048,17
2048,1
2048,24
2048,8
2048,22
2048,23
2048,21
2048,5
2048,15
2048,9
2048,24
2048,14
2048,15
2048,2
2048,27
2048,0
2048,0
2048,16
2048,26
2048,29
2048,15
2048,19
2048,22
2048,16
2048,22
2048,23
2048,14
2048,13
2048,30
2048,2
2048,12
2048,9
2048,23
2048,25
1990,3
1985,18
1982,18
1981,21
1974,12
1958,17
1962,8
1915,5
1882,5
2048,7
1813,1
1956,0
1802,0
1783,25
1768,23
1729,0
1690,13
1834,7
1660,7
1667,18
2048,7
1611,26
1603,24
1714,7
1682,6
1579,3
1538,22
1535,5
1528,9
1503,0
1499,6
1684,5
1466,22
1461,26
1533,30
1430,30
1459,27
1399,17
1415,2
1408,10
1388,3
1433,20
1415,20
1659,26
1342,18
1353,19
1317,4
1315,30
1300,14
1299,16
1346,30
1247,23
1242,10
1234,27
1197,3
1543,19
1164,31
1209,17
1185,20
1114,4
1109,28
1130,17
1113,18
1064,27
1137,2
1125,2
1060,27
1056,31
1123,2
1053,26
1043,29
1038,18
1068,12
1045,12
1073,12
1025,24
1008,17
992,27
991,2
989,13
984,27
976,20
977,12
974,17
1371,27
993,3
953,3
1002,16
939,13
939,18
974,3
917,28
893,8
920,12
872,6
884,10
861,23
854,12
848,2
842,8
828,30
829,10
823,10
916,14
860,11
804,18
818,10
794,5
786,10
774,18
840,14
956,17
764,19
755,4
765,7
749,19
854,14
796,17
759,19
721,30
995,15
899,26
728,15
753,4
727,28
707,4
1001,4
778,26
771,29
679,29
663,3
661,4
800,29
682,15
651,12
820,29
645,15
611,29
609,31
606,17
606,27
607,21
606,10
601,29
599,31
616,11
600,3
695,26
599,13
651,27
602,22
563,27
562,26
628,14
615,11
580,13
577,11
563,13
552,28
565,10
543,19
549,0
2048,27
1370,28
619,30
536,28
529,8
557,20
522,8
629,1
567,9
506,13
497,14
496,11
2048,9
516,1
471,14
517,7
500,21
471,14
470,1
469,4
554,29
466,3
474,7
462,25
454,7
633,3
456,1
442,25
438,15
479,25
439,21
423,14
844,1
440,1
411,29
407,28
403,29
597,28
414,28
413,24
410,28
400,1
389,28
422,9
386,21
385,21
381,4
376,24
1553,16
1314,16
531,19
473,16
455,6
399,25
381,19
379,16
374,25
372,31
365,29
365,25
360,8
380,22
362,22
359,25
356,21
358,24
848,14
451,10
384,1
911,15
379,1
348,1
347,14
337,24
328,26
322,16
476,9
436,9
312,16
311,15
303,5
317,21
308,22
306,31
299,21
295,31
325,24
319,25
312,24
299,25
296,24
295,25
546,4
287,29
286,25
284,24
280,29
272,11
280,27
279,5
276,1
261,21
2048,22
849,1
380,4
276,5
267,1
265,31
264,4
260,28
295,16
270,10
267,16
264,10
263,16
247,26
246,14
244,10
246,25
245,21
241,16
238,26
232,9
2048,13
1249,25
257,8
256,1
255,19
241,7
240,5
236,8
236,27
231,22
587,22
290,22
283,18
221,12
767,31
261,31
211,31
211,26
210,12
209,6
275,29
255,29
247,29
228,6
225,13
218,1
202,24
196,6
194,13
576,24
316,9
232,24
206,21
206,28
200,9
173,9
253,19
172,31
166,19
161,30
1244,6
1062,11
413,1
246,9
202,24
196,8
185,22
167,17
162,11
203,6
178,6
176,5
161,28
151,5
151,1
146,28
146,6
250,13
228,13
141,25
1737,31
380,29
176,19
135,18
133,29
128,9
128,19
127,18
595,18
367,18
146,13
134,25
117,18
115,21
228,23
148,21
115,23
115,21
109,23
106,21
147,15
133,17
129,15
125,26
118,19
114,17
108,13
109,15
95,21
1864,16
87,9
80,3
77,8
77,20
75,9
74,25
161,8
133,10
102,8
81,9
79,10
65,8
154,23
99,23
82,23
72,30
66,23
61,1
61,30
52,0
1073,21
95,5
76,21
71,23
65,6
61,5
59,30
58,11
54,0
52,21
50,9
49,23
49,6
49,5
44,30
2048,4
552,31
471,23
458,10
67,21
61,9
48,31
43,6
40,23
36,5
35,1
1050,7
269,3
64,19
60,3
55,17
40,7
37,21
37,6
29,9
26,10
24,19
24,3
1256,10
47,31
46,4
41,31
28,10
20,5
16,26
150,25
44,20
42,6
28,1
25,3
24,25
17,30
17,4
7,17
3,7
