seq_len,ch_idx
2048,20
2048,9
2048,2
2048,15
2048,7
2048,30
2048,10
2048,25
2048,10
2048,17
2048,25
2048,31
2048,21
1950,21
1902,31
1792,5
2048,9
1608,31
1557,22
1547,3
1404,27
1402,10
1357,16
1383,16
1237,8
1220,18
1132,8
1124,22
1102,19
1093,8
1096,23
1033,22
948,27
1013,2
902,2
1432,19
828,16
817,4
794,12
853,13
777,27
760,15
753,24
693,16
679,18
631,28
785,16
687,30
585,13
575,26
561,27
549,20
512,16
523,12
521,12
719,12
512,12
532,1
505,11
466,11
416,11
415,6
411,29
402,15
399,4
397,5
405,29
387,13
385,24
380,11
350,17
484,11
333,28
372,7
325,17
315,12
311,7
404,14
302,17
311,28
414,30
300,13
1054,30
252,13
237,19
295,11
267,19
217,7
203,26
224,11
182,28
180,29
257,14
227,14
151,14
197,1
162,29
156,1
142,29
141,14
120,1
114,1
111,1
113,14
104,20
103,1
96,3
85,3
91,6
82,6
66,6
80,4
64,6
56,4
746,0
60,0
47,23
45,0
63,23
44,6
49,26
13,0
94,24
50,26
26,24
26,0
9,26
4,23
