seq_len,ch_idx
973,16
1854,29
772,20
824,21
663,17
765,7
547,26
533,20
531,14
521,4
545,9
473,20
492,12
477,5
469,27
502,28
498,8
451,27
447,9
540,28
418,21
382,21
424,19
386,26
382,7
614,17
354,0
345,12
341,15
393,25
358,13
335,12
350,22
414,13
297,2
292,9
336,31
315,31
283,31
270,1
337,2
262,22
258,2
251,18
260,15
258,15
265,15
245,18
240,22
271,10
242,16
232,6
241,1
229,3
222,1
368,4
258,18
237,10
198,22
235,5
217,23
195,5
191,23
344,30
184,0
174,25
173,30
171,0
171,25
170,30
161,17
160,11
155,0
200,22
154,25
151,30
207,3
146,4
143,19
400,24
131,19
127,26
116,11
114,11
1431,6
145,14
113,24
273,2
139,26
125,9
119,3
111,30
101,25
212,28
159,27
104,28
87,4
76,23
75,4
82,10
70,11
400,13
209,24
60,13
55,7
954,8
63,24
57,14
51,27
49,8
45,24
428,10
331,12
62,16
45,14
42,0
33,10
96,19
38,11
35,19
26,3
78,23
65,18
54,31
16,3
15,23
14,1
6,5
