seq_len,ch_idx
2048,21
2048,27
1773,6
1466,4
1017,9
584,26
565,18
548,17
1012,17
512,13
558,1
553,22
459,3
432,28
399,11
414,0
404,24
471,3
382,14
442,18
373,19
353,27
344,29
364,22
359,0
333,19
329,15
325,2
311,0
336,16
330,23
284,24
1426,24
272,12
308,15
255,1
291,7
238,15
234,16
233,26
226,7
225,2
223,1
466,7
377,31
255,30
230,7
229,31
227,10
223,30
314,2
232,2
211,0
208,13
208,6
252,5
219,5
204,5
338,8
238,8
201,8
195,8
194,19
187,8
191,19
199,20
166,20
200,15
193,0
168,10
163,12
178,25
152,9
151,16
160,25
147,31
136,9
142,11
162,14
125,14
118,28
387,14
191,12
128,17
127,25
124,16
115,14
109,5
105,12
278,13
219,22
166,13
140,3
109,4
108,25
101,20
112,26
95,29
94,26
89,3
86,29
101,10
81,16
72,12
286,11
79,29
72,30
65,31
61,11
60,23
56,25
55,29
53,20
66,30
52,5
48,31
48,20
39,11
31,1
38,15
70,23
27,28
27,23
23,10
20,28
17,18
15,23
12,10
