seq_len,ch_idx
223,9
213,31
198,0
177,26
172,15
161,2
153,3
144,12
138,7
120,1
118,9
117,20
116,4
113,18
111,12
110,11
109,0
109,8
110,24
104,10
100,3
99,7
96,24
93,7
93,22
92,2
88,31
84,28
83,14
81,24
81,28
80,22
77,14
79,5
79,30
78,11
76,1
72,18
71,20
70,11
70,12
67,27
69,17
68,27
64,29
63,11
63,17
60,10
59,7
59,29
59,19
57,23
56,8
59,5
53,31
52,9
51,13
50,30
48,0
47,31
49,22
44,16
44,5
44,30
43,22
43,25
42,1
42,28
42,4
41,6
40,14
38,9
54,16
39,23
38,15
36,2
34,5
33,16
33,17
32,13
31,23
30,29
29,10
29,2
28,12
26,26
26,21
30,19
29,6
29,19
28,4
25,21
23,6
22,19
22,29
20,10
20,13
19,21
19,27
19,28
19,30
19,15
17,26
17,8
15,0
19,25
18,25
16,18
15,20
15,3
14,21
13,6
13,13
12,25
12,23
11,16
11,4
11,8
10,17
10,27
10,14
10,18
10,20
10,26
9,1
9,15
8,3
7,24
