seq_len,ch_idx
2048,19
1005,0
871,10
830,1
826,10
819,22
798,22
722,3
697,31
624,2
611,24
571,18
543,28
511,7
784,25
502,8
879,30
507,20
505,2
495,16
472,8
461,20
555,15
405,11
395,30
384,5
447,17
356,18
380,21
372,1
368,21
343,2
384,12
313,25
301,4
327,11
314,6
335,24
317,13
285,1
278,26
269,26
299,20
272,20
249,21
255,13
250,5
242,24
242,2
241,17
248,9
235,6
223,26
218,16
214,4
580,29
214,26
1568,4
394,11
232,12
202,18
201,21
196,11
210,0
188,26
241,18
190,3
188,6
171,14
187,3
180,24
178,15
162,15
161,30
156,3
153,15
316,27
162,0
158,27
144,12
1100,14
286,9
139,24
133,5
708,9
175,18
132,25
559,8
168,29
113,8
107,15
188,6
113,27
112,6
106,27
101,16
93,29
383,28
237,13
181,29
127,12
108,9
95,0
82,30
182,31
115,29
99,16
71,12
68,16
83,7
70,7
59,7
73,23
57,23
46,23
46,23
54,13
43,23
118,17
36,17
36,28
24,7
38,31
33,17
20,13
12,5
9,27
3,5
